FPR,TPR,Threshold
0.26626150791263015,0.9919704307927606,0.06
0.28010108911486853,0.9928626051491206,0.055
0.2936999819483723,0.9933724190670405,0.05
0.3089235212708346,0.9940096864644404,0.045
0.32709549311029545,0.9943920469028804,0.04
0.34647090679342923,0.9952204945195003,0.035
0.36849389253264336,0.9957940351771604,0.03
0.3962933991214875,0.9963038490950803,0.025
0.4280642637944521,0.9966224827937803,0.02
0.47427643059149166,0.9972597501911802,0.015
0.531379746073771,0.9981519245475401,0.01
0.6347554004452735,0.9990440989039001,0.005
1.0,1.0,0.0
